symptoms,disease,symptoms_processed
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"headache,chest pain,dizziness,loss of balance,lack of concentration",Hypertension,headache chest pain dizziness loss balance lack concentration
"itching,fatigue,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch fatigue yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"vomiting,fatigue,high fever,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes,acute liver failure,coma,stomach bleeding",Hepatitis E,vomit fatigue high fever yellowish skin dark urine nausea loss appetite abdominal pain yellow eye acute liver failure coma stomach bleeding
"fatigue,cough,high fever,breathlessness,family history,mucoid sputum",Bronchial Asthma,fatigue cough high fever breathlessness family history mucoid sputum
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"continuous sneezing,chills,fatigue,cough,high fever,headache,swelled lymph nodes,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache swell lymph node malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"chills,vomiting,fatigue,high fever,headache,nausea,constipation,abdominal pain,diarrhoea,belly pain",Typhoid,chill vomit fatigue high fever headache nausea constipation abdominal pain diarrhoea belly pain
"fatigue,cramps,bruising,obesity,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell blood vessel prominent vein calf
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"stomach pain,acidity,ulcers on tongue,vomiting,cough",Gerd,stomach pain acidity ulcer tongue vomit cough
"fatigue,weight loss,restlessness,lethargy,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy blur distorted vision obesity excessive hunger increase appetite polyuria
"burning micturition,bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,burn micturition bladder discomfort foul smell urine continuous feel urine
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity excessive hunger increase appetite polyuria
"itching,vomiting,fatigue,weight loss,high fever,yellowish skin,dark urine,abdominal pain",Jaundice,itch vomit fatigue weight loss high fever yellowish skin dark urine abdominal pain
"chills,vomiting,fatigue,high fever,headache,nausea,abdominal pain,diarrhoea,toxic look (typhos),belly pain",Typhoid,"chill vomit fatigue high fever headache nausea abdominal pain diarrhoea toxic look typhos ), belly pain"
"muscle wasting,patches in throat,high fever,extra marital contacts",Aids,muscle waste patch throat high fever extra marital contact
"vomiting,headache,weakness of one body side,altered sensorium",Paralysis (Brain Hemorrhage),vomit headache weakness one body side alter sensorium
I have a lot of stomach pain and I have to take antacids to relieve it. I also have a lot of heartburn. I have lost a lot of weight and I find it hard to gain weight.,Peptic Ulcer Disease,lot stomach pain take antacid relieve also lot heartburn lose lot weight find hard gain weight
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"bladder discomfort,foul smell of urine,continuous feel of urine",Urinary Tract Infection,bladder discomfort foul smell urine continuous feel urine
"itching,skin rash,nodal skin eruptions,dischromic  patches",Fungal Infection,itch skin rash nodal skin eruption dischromic patch
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"joint pain,vomiting,fatigue,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,yellowing of eyes",Hepatitis D,joint pain vomit fatigue yellowish skin dark urine nausea loss appetite abdominal pain yellow eye
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"chills,vomiting,high fever,sweating,headache,nausea,diarrhoea,muscle pain",Malaria,chill vomit high fever sweat headache nausea diarrhoea muscle pain
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",Hepatitis A,joint pain vomit yellowish skin dark urine nausea loss appetite abdominal pain diarrhoea mild fever yellow eye muscle pain
"skin rash,blackheads,scurring",Acne,skin rash blackhead scurring
"itching,skin rash,stomach pain,burning micturition,spotting  urination",Drug Reaction,itch skin rash stomach pain burn micturition spot urination
"chills,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",Tuberculosis,chill vomit fatigue weight loss cough high fever breathlessness sweat loss appetite mild fever yellow eye swell lymph node malaise phlegm chest pain blood sputum
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,increased appetite,polyuria",Diabetes,fatigue weight loss restlessness lethargy irregular sugar level blur distorted vision obesity increase appetite polyuria
"continuous sneezing,chills,watering from eyes",Allergy,continuous sneeze chill water eye
"I've been feeling really sick lately. I've been coughing a lot, and I've been having trouble breathing. I've also been having chills and a fever. I've been feeling really weak and tired. I've also been coughing up a lot of phlegm.",Pneumonia,feel really sick lately cough lot trouble breathe also chill fever feeling really weak tire also cough lot phlegm
"itching,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",Hepatitis B,itch lethargy yellowish skin dark urine loss appetite abdominal pain yellow urine yellow eye malaise receive blood transfusion receive unsterile injection
"fatigue,weight gain,cold hands and feets,mood swings,lethargy,puffy face and eyes,enlarged thyroid,brittle nails,swollen extremeties,depression,irritability,abnormal menstruation",Hypothyroidism,fatigue weight gain cold hand feets mood swing lethargy puffy face eye enlarge thyroid brittle nail swollen extremeties depression irritability abnormal menstruation
"continuous sneezing,chills,fatigue,cough,high fever,headache,malaise,phlegm,throat irritation,redness of eyes,sinus pressure,runny nose,congestion,chest pain,loss of smell,muscle pain",Common Cold,continuous sneeze chill fatigue cough high fever headache malaise phlegm throat irritation redness eye sinus pressure runny nose congestion chest pain loss smell muscle pain
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"fatigue,cramps,bruising,obesity,swollen legs,swollen blood vessels,prominent veins on calf",Varicose Veins,fatigue cramp bruise obesity swell legs swollen blood vessel prominent vein calf
"I have been feeling fine all day, but suddenly developed a headache, chest pain, and dizziness while driving home from work. It's been hard for me to focus and concentrate on the road since then. I'm not sure what's wrong with me, but I'm worried.",Hypertension,feel fine day suddenly develop headache chest pain dizziness driving home work hard focus concentrate road since sure wrong worry
"I have a cough that has been going on for a few days, and I feel really weak and tired. I have a high fever, and my breathing is getting harder. I also cough up a lot of mucus.",Bronchial Asthma,cough go day feel really weak tired high fever breathe get harder also cough lot mucus
"skin rash,chills,joint pain,vomiting,fatigue,high fever,headache,nausea,loss of appetite,pain behind the eyes,back pain,malaise,muscle pain,red spots over body",Dengue,skin rash chill joint pain vomit fatigue high fever headache nausea loss appetite pain behind eye back pain malaise muscle pain red spot body
"vomiting,sunken eyes,diarrhoea",Gastroenteritis,vomit sunken eye diarrhoea
"skin rash,pus filled pimples,blackheads,scurring",Acne,skin rash pu fill pimple blackhead scurring
"chills,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",Pneumonia,chill fatigue cough high fever breathlessness sweat malaise phlegm chest pain fast heart rate rusty sputum
"vomiting,indigestion,loss of appetite,abdominal pain,passage of gases",Peptic Ulcer Diseae,vomit indigestion loss appetite abdominal pain passage gas
I've been having bloody stools for a while now and I'm also feeling weak and tired. I think I might have anaemia.,Peptic Ulcer Disease,bloody stool also feel weak tired think might anaemia
